ID,Barcode,Title,Authors,Publisher,Pub Date,Binding,On Hand,Price
345530624,9914008798,The Deep Zone: A Novel (with bonus short story Lethal Expedition),"Tabor, James M.",Ballantine Books,13-Jan,Paper Back,1,$1.00 
553591614,9914008720,Hiss of Death: A Mrs. Murphy Mystery,"Brown, Rita Mae",Bantam,12-Feb,Paper Back,1,$1.00 
425248089,9914009301,The Kingdom (A Fargo Adventure),"Cussler, Clive, Blackwood, Grant",Berkley,12-May,Paper Back,1,$1.00 
451233964,9914009182,Stay Close,"Coben, Harlan",Signet,13-Mar,Paper Back,1,$1.00 
1439165289,9914009549,The Burning Soul: A Charlie Parker Thriller (The Charlie Parker Stories),"Connolly, John",Pocket Books,12-Jun,Paper Back,1,$1.00 
61807060,9914009514,The Inquisitor's Key (Body Farm),"Bass, Jefferson",Harper,13-Jan,Paper Back,1,$1.00 
1501132938,9914013368,The Woman in Cabin Ten,"Ware, Ruth",Gallery/Scout Press,16-Jul,Hardcover,1,$5.00 
1476749116,9914025765,The Melody Lingers On,"Clark, Mary Higgins",Simon & Schuster,15-Apr,Hardcover,1,$3.00 
006210988X,9914025676,Black Horizon (Jack Swyteck Novel),"Grippando, James",Harper,14-Mar,Hardcover,1,$1.00 
316407046,9914025595,Cross Justice,"Patterson, James","Little, Brown and Company",15-Nov,Hardcover,1,$3.00 
1455510203,9914026796,Kill Alex Cross,"Patterson, James",Grand Central Publishing,12-May,Trade,1,$2.00 
039917432X,9914042473,The Solomon Curse (A Sam and Remi Fargo Adventure),"Cussler, Clive, Blake, Russell",Putnam Adult,15-Sep,Hardcover,1,$3.00 
307454541,9914054315,The Girl with the Dragon Tattoo (Vintage),"Larsson, Stieg",Vintage,9-Jun,Trade,1,$2.00 
1400031362,9914085776,Morality for Beautiful Girls (No. 1 Ladies Detective Agency (Paperback)),"Smith, Alexander McCall",Anchor,2-Nov,Trade,1,$2.00 
62430211,9914091407,The Kept Woman: A Novel,"Slaughter, Karin",William Morrow,16-Sep,Hardcover,1,$5.00 
039957560X,9914099254,The Cutthroat (An Isaac Bell Adventure),"Cussler, Clive",G.P. Putnam's Sons,17-Mar,Hardcover,1,$8.00 
1476783489,9914099599,Untitled #2 (A Mitch Rapp Novel),"Flynn, Vince, Mills, Kyle",Atria/Emily Bestler Books,16-Oct,Hardcover,1,$5.00 
399174680,9914099580,Amorous Entanglements (Stone Barrington),"Woods, Stuart",G.P. Putnam's Sons,16-Jan,Hardcover,1,$3.00 
804178747,9914110010,Personal: A Jack Reacher Novel,"Child, Lee",Delacorte Press,14-Sep,Hardcover,1,$3.00 
399164731,9914117899,The Final Cut,"Coulter, Catherine, Ellison, J. T.",Putnam Adult,13-Sep,Hardcover,1,$3.00 
765356864,9914118135,One Second After,"Forstchen, William R.",Tor Books,11-Apr,Paper Back,1,$1.00 
743276736,9914141072,Stalin's Ghost: An Arkady Renko Novel,"Smith, Martin Cruz",Pocket,8-Jun,Trade,1,$2.00 
684859114,9914158838,Damascus Gate,"Stone, Robert",Touchstone,May-99,Trade,1,$2.00 
1250081807,9914166245,It's Always the Husband,"Campbell, Michele Rebecca Martinez",St. Martin's Press,17-May,Trade,1,$6.00 
62325418,9914168116,Depraved Heart: A Scarpetta Novel (Kay Scarpetta),"Cornwell, Patricia",William Morrow,16-Jun,Paper Back,1,$1.00 
1594633665,9914171443,The Girl on the Train: A Novel,"Hawkins, Paula",Riverhead Hardcover,15-Jan,Hardcover,1,$3.00 
1250076269,9914191355,A Secret Kept,"de Rosnay, Tatiana",St. Martin's Griffin,15-Apr,Trade,1,$2.00 
1455568147,9914194036,Missing: A Private Novel,"Patterson, James",Grand Central Publishing,16-Oct,Trade,1,$2.00 
1439156360,9914193935,Edge,"Deaver, Jeffery",Pocket,11-Jul,Paper Back,1,$1.00 
440211727,9914193919,A Time to Kill,"Grisham, John",Dell,Jul-92,Paper Back,1,$1.00 
039917673X,9914204848,Curtain of Death (A Clandestine Operations Novel),"Griffin, W.E.B., Butterworth IV, William E.",G.P. Putnam's Sons,16-Dec,Hardcover,1,$5.00 
039957560X,9914208436,The Cutthroat (An Isaac Bell Adventure),"Cussler, Clive",G.P. Putnam's Sons,17-Mar,Hardcover,1,$8.00 
399167323,9914209726,Piranha (The Oregon Files),"Cussler, Clive, Morrison, Boyd",Putnam Adult,15-May,Hardcover,1,$3.00 
399184015,9914209882,Nighthawk (The NUMA Files),"Cussler, Clive, Brown, Graham",G.P. Putnam's Sons,17-Jun,Hardcover,1,$8.00 
1455536377,9914209866,The Hangman's Waltz (A Lincoln Rhyme Novel),"Deaver, Jeffery",Grand Central Publishing,17-Apr,Hardcover,1,$8.00 
1101984260,9914235093,Home,"Coben, Harlan",Dutton,17-May,Paper Back,1,$1.00 
1587672677,9914241069,Femme (Nameless Detective),"Pronzini, Bill",Cemetery Dance Pubns,12-Dec,Hardcover,1,$1.00 
765335689,991424114X,Vixen: A Nameless Detective Novel (Nameless Detective Novels),"Pronzini, Bill",Forge Books,15-Jun,Hardcover,1,$1.00 
446699543,9914241123,The Narrows (Harry Bosch),"Connelly, Michael",Grand Central Publishing,6-Oct,Trade,1,$2.00 
743289412,9914249396,Lisey's Story,"King, Stephen",Scribner,6-Oct,Hardcover,1,$3.00 
312033567,9914259073,Anatomy of a Murder,"Traver, Robert",St. Martin's Griffin,Apr-83,Trade,1,$2.00 
802126472,9914263232,Earthly Remains: A Commissario Guido Brunetti Mystery,"Leon, Donna",Atlantic Monthly Press,17-Apr,Hardcover,1,$5.00 
9110344748,9914267939,Ink and bone,,,,Trade,1,$3.00 
393249646,9914272991,Fateful Mornings: A Henry Farrell Novel,"Bouman, Tom",W. W. Norton & Company,17-Jun,Hardcover,1,$6.00 
399177000,9914273386,Robert B. Parker's Little White Lies (Spenser),"Atkins, Ace",G.P. Putnam's Sons,17-May,Hardcover,1,$8.00 
125008959X,9914287018,Sorrow Road: A Novel (Bell Elkins Novels),"Keller, Julia",St. Martin's Griffin,17-Jul,Paper Back,1,$6.00 
1455559490,9914287565,The House of Secrets,"Meltzer, Brad",Grand Central Publishing,16-Jun,Hardcover,1,$5.00 
689871333,9914287956,"The Wyrm King (Beyond the Spiderwick Chronicles, Book 3)","Black, Holly, DiTerlizzi, Tony",Simon & Schuster Books for Young Readers,9-Sep,Hardcover,1,$3.00 
425276392,991428969X,On Target (A Gray Man Novel),"Greaney, Mark",Berkley Trade,14-Sep,Trade,1,$2.00 
399185275,9914307779,Smooth Operator,"Woods, Stuart, Hall, Parnell",G.P. Putnam's Sons,17-May,Paper Back,1,$1.00 
1455585335,9914307965,The Games (Private),"Patterson, James",Grand Central Publishing,17-Jan,Trade,1,$2.00 
125012722X,9914312101,Sanibel Flats: A Doc Ford Novel (Doc Ford Novels),"White, Randy Wayne",St. Martin's Paperbacks,17-Mar,Paper Back,1,$1.00 
1455586560,991431306X,New Amos Decker Novel (Amos Decker series),"Baldacci, David",Grand Central Publishing,17-Apr,Hardcover,1,$8.00 
735221472,9914313000,The Shark Club,"Taylor, Ann Kidd",Viking,17-Jun,Hardcover,1,$3.00 
045147063X,9914317901,Blood In the Water: Destroyermen,"Anderson, Taylor",Roc,16-Jun,Hardcover,1,$5.00 
399165134,9914317936,Trust No One,"Krentz, Jayne Ann",Putnam Adult,15-Jan,Hardcover,1,$3.00 
1478971630,9914329276,BookShots Thriller Omnibus,"Patterson, James",Grand Central Publishing,17-Feb,Trade,1,$1.00 
735212163,9914336655,The Girl on the Train (Movie Tie-In),"Hawkins, Paula",Riverhead Books,16-Aug,Paper Back,1,$3.00 
425247899,9914338623,Buried Prey,"Sandford, John",Berkley,12-May,Paper Back,1,$1.00 
1455586455,9914341357,The Last Mile (Amos Decker series),"Baldacci, David",Grand Central Publishing,16-Apr,Hardcover,1,$1.00 
307700348,9914341306,Golden Age: A novel,"Smiley, Jane",Knopf,15-Oct,library discard HC,1,$1.00 
1632862891,9914342310,The Sidney Chambers and The Shadow of Death (Grantchester),"Runcie, James",Bloomsbury USA,15-Jan,Trade,1,$2.00 
1101972971,9914342884,Inferno (Movie Tie-in Edition),"Brown, Dan",Anchor,16-Sep,Paper Back,1,$1.00 
316273961,9914344054,MURDER GAMES,"Patterson, James","Little, Brown and Company",17-Feb,Hardcover,1,$8.00 
735215367,9914346790,The Emperor's Revenge (The Oregon Files),"Cussler, Clive, Morrison, Boyd",G.P. Putnam's Sons,17-May,Trade,1,$4.00 
399169113,991434884X,Cut and Thrust (Stone Barrington),"Woods, Stuart",Putnam Adult,14-Jul,Hardcover,1,$3.00 
399164154,9914348831,Standup Guy (Stone Barrington),"Woods, Stuart",Putnam Adult,14-Jan,Hardcover,1,$3.00 
399164162,9914348823,Carnal Curiosity (Stone Barrington),"Woods, Stuart",Putnam Adult,14-Apr,Hardcover,1,$3.00 
1250010403,9914349080,The Sins of the Father,"Archer, Jeffrey",St. Martin's Paperbacks,12-Aug,Paper Back,1,$1.00 
425189031,9914349226,Portrait in Death,"Robb, J. D.",Berkley,3-Feb,Paper Back,1,$1.00 
425181103,9914349196,Phantoms,"Koontz, Dean",Berkley,2-Feb,Paper Back,1,$1.00 
62664417,9914364314,Unti Winslow Cop Novel,"Winslow, Don",William Morrow,17-Jun,Hardcover,1,$5.00 
1616953438,991436778X,Little Wolves,"Maltman, Thomas",Soho Press,13-Nov,Trade,1,$2.00 
345528522,9914386601,Criminal: A Novel (with bonus novella Snatched) (Will Trent),"Slaughter, Karin",Dell,13-Jan,Paper Back,1,$1.00 
62083929,9914386865,Out of Range,"Steinberg, Hank",Harper,14-Jan,Paper Back,1,$1.00 
857385216,9914387217,Deep Black: Death Wave,,Quercus Publishing,January 0001,Trade,1,$2.00 
1455525774,991440149X,The Lost Island: A Gideon Crew Novel (Gideon Crew series),"Preston, Douglas, Child, Lincoln",Grand Central Publishing,14-Aug,library discard HC,1,$1.00 
758277113,9914401775,British Manor Murder (A Lucy Stone Mystery),"Meier, Leslie",Kensington,17-Jul,Paper Back,1,$2.00 
1101991208,9914405444,Telling Tails (Second Chance Cat Mystery),"Ryan, Sofie",Berkley,17-Jan,Paper Back,1,$1.00 
312976275,9914413161,Hot Six: A Stephanie Plum Novel (A Stephanie Plum Novel),"Evanovich, Janet",St. Martin's Paperbacks,1-Jun,Paper Back,1,$1.00 
1616957379,9914413315,Death of a Wharf Rat (A Merry Folger Nantucket Mystery),"Mathews, Francine",Soho Crime,17-Jun,Hardcover,1,$6.00 
307476154,991441608X,The Girl Who Played with Fire (Vintage Crime/Black Lizard),"Larsson, Stieg",Vintage,10-Mar,Trade,1,$1.00 
446611212,9914430244,Violets Are Blue (Alex Cross),"Patterson, James",Grand Central Publishing,2-Sep,Paper Back,1,$1.00 
1455525898,991443083X,Blue Labyrinth,"Preston, Douglas, Child, Lincoln",Grand Central Publishing,14-Nov,Hardcover,1,$1.00 
62567381,9914432662,Every Day Above Ground,"Hamilton, Glen Erik",William Morrow,17-Jul,Hardcover,1,$2.00 
440225701,9914436722,The Street Lawyer,"Grisham, John",Dell,Feb-99,Paper Back,1,$1.00 
006232893X,9914436951,Unti Paul Madriani #13: A Paul Madriani Novel,"Martini, Steve",William Morrow,15-May,Hardcover,1,$3.00 
044653983X,9914438067,Robert Ludlum's (TM) The Bourne Deception (Jason Bourne),"Ludlum, Robert, Van, Eric Lustbader",Vision,10-Jun,Paper Back,1,$1.00 
316225886,9914437966,The Crossing,"Connelly, Michael","Little, Brown and Company",15-Nov,Hardcover,1,$3.00 
451473108,9914438172,Hot Pursuit: A Stone Barrington Novel,"Woods, Stuart",Signet,15-Dec,Paper Back,1,$1.00 
145558990X,9914438164,The Murder House,"Patterson, James, Ellis, David",Grand Central Publishing,16-Apr,Trade,1,$3.00 
1681443104,9914438148,The Freedom Broker (A Thea Paris Novel),"Howe, K.J.",Quercus,17-Feb,Hardcover,1,$2.00 
804178801,9914451497,Night School: A Jack Reacher Novel,"Child, Lee",Delacorte Press,16-Sep,Hardcover,1,$3.00 
684853507,9914458386,Bag of Bones,"King, Stephen",Scribner,Sep-98,Hardcover,1,$3.00 
1250141435,9914458483,Emma in the Night,"Walker, Wendy",St. Martin's Press,17-Aug,Hardcover,1,$5.00 
62403737,991446078X,Unti McFate & Witter Novel #2,"McFate, Sean, Witter, Bret",William Morrow,17-Jul,Trade,1,$6.00 
168177139X,9914461727,The Dead Don't Bleed: A Novel,"Krugler, David",Pegasus,16-Jun,Hardcover,1,$3.00 
1455553549,9914461840,Testimony,"Turow, Scott",Grand Central Publishing,17-May,Hardcover,1,$10.00 
802125220,9914464688,The Corners of the Globe: A James Maxted Thriller,"Goddard, Robert",Mysterious Press,16-Jun,Hardcover,1,$5.00 
525954554,9914465013,The Bitter Season,"Hoag, Tami",Dutton,16-Jan,Hardcover,1,$1.00 
62436686,9914465005,Chaos: A Scarpetta Novel,"Cornwell, Patricia",William Morrow,16-Nov,Hardcover,1,$5.00 
1250020107,9914464998,Shadow Play: An Eve Duncan Novel,"Johansen, Iris",St. Martin's Press,15-Sep,Hardcover,1,$3.00 
1501132938,991446498X,The Woman in Cabin Ten,"Ware, Ruth",Gallery/Scout Press,16-Jul,Hardcover,1,$5.00 
345500784,991448042X,Sizzle: A Novel,"Garwood, Julie",Ballantine Books,11-Jan,Paper Back,1,$1.00 
399184015,9914484964,Nighthawk (The NUMA Files),"Cussler, Clive, Brown, Graham",G.P. Putnam's Sons,17-Jun,Hardcover,1,$8.00 
62354345,9914485065,House of Spies: A Novel (Gabriel Allon),"Silva, Daniel",Harper,17-Jul,library discard HC,1,$8.00 
446615005,9914485375,A Confidential Source,"Brogan, Jan",Grand Central Publishing,6-Apr,Paper Back,1,$1.00 
399174664,991449160X,Naked Greed (Stone Barrington),"Woods, Stuart",Putnam Adult,15-Jul,Hardcover,2,$3.00 
727886398,9914494765,The Killing Ship: An Antarctica Thriller,"Beaufort, Simon",Severn House Publishers,16-Nov,Hardcover,1,$1.00 
1783296313,9914497055,NCIS LA - Novel 1,"Preisler, Jerome",Titan Books,15-Apr,Paper Back,1,$1.00 
312033567,9914496911,Anatomy of a Murder,"Traver, Robert",St. Martin's Griffin,Apr-83,Trade,1,$2.00 
1594634025,9914497195,The Girl on the Train,"Hawkins, Paula",Riverhead Books,16-Jul,Trade,1,$5.00 
316407097,9914497128,Cross the Line,"Patterson, James","Little, Brown and Company",16-Oct,Hardcover,1,$3.00 
399168915,9914500528,Escape Clause (A Virgil Flowers Novel),"Sandford, John",G.P. Putnam's Sons,16-Oct,library discard HC,1,$3.00 
399177000,9914500498,Robert B. Parker's Little White Lies (Spenser),"Atkins, Ace",G.P. Putnam's Sons,17-May,Hardcover,1,$4.00 
316273880,991450048X,The Black Book,"Patterson, James","Little, Brown and Company",17-Mar,Hardcover,1,$4.00 
316407038,991450079X,Alert (Michael Bennett),"Patterson, James, Ledwidge, Michael","Little, Brown and Company",15-Sep,Hardcover,1,$3.00 
399162372,9914500757,Deadline (A Virgil Flowers Novel),"Sandford, John",Putnam Adult,14-Oct,Hardcover,1,$3.00 
385354193,9914500714,Blood on Snow: A novel,"Nesbo, Jo",Knopf,15-Apr,Hardcover,1,$3.00 
1250123119,9914500889,Echoes in Death,"Robb, J. D.",St. Martin's Press,17-Feb,Hardcover,1,$5.00 
1250027705,9914500862,Betrayed: A Rosato & Associates Novel (Rosato and Associates),"Scottoline, Lisa",St. Martin's Press,14-Nov,Hardcover,1,$3.00 
039916443X,9914501087,Concealed in Death,"Robb, J. D.",Putnam Adult,14-Feb,Hardcover,1,$3.00 
425272818,9914509339,The Bootlegger (An Isaac Bell Adventure),"Cussler, Clive, Scott, Justin",Berkley,15-Mar,Trade,1,$2.00 
425267776,9914517811,Zero Hour (The Numa Files),"Cussler, Clive, Brown, Graham",Berkley,14-Jun,Paper Back,1,$1.00 
425215687,9914517803,Born in Death,"Robb, J.D.",Berkley,7-Apr,Paper Back,1,$1.00 
1455586544,9914530761,The Fix (Amos Decker series),"Baldacci, David",Grand Central Publishing,17-Sep,Trade,1,$6.00 
1416535527,9914536395,Santa Cruise: A Holiday Mystery at Sea,"Clark, Mary Higgins, Higgins, Carol Clark",Scribner,6-Nov,Hardcover,1,$3.00 
670691992,9914537502,The Talisman,"King, Stephen, Straub, Peter",Viking Adult,Oct-84,Hardcover,1,$3.00 
758287399,9914541585,Murder At Fenway Park: A Mickey Rawlings Baseball Mystery (Mickey Rawlings Baseball Mysteries),"Soos, Troy",Kensington,13-Mar,Paper Back,1,$1.00 
385689500,9914547265,The Girl on the Train (Movie Tie-In),"Hawkins, Paula",Anchor Canada,16-Aug,Trade,1,$2.00 
425283178,991455959X,The Gates of Evangeline,"Young, Hester",G.P. Putnam's Sons,16-Sep,Trade,1,$2.00 
307476154,9914573851,The Girl Who Played with Fire (Vintage Crime/Black Lizard),"Larsson, Stieg",Vintage,10-Mar,Trade,1,$1.00 
1250099625,9914575188,Damaged (A Rosato & DiNunzio Novel),"Scottoline, Lisa",St. Martin's Press,16-Oct,Hardcover,1,$5.00 
1525811401,9914575994,Best Day Ever,"Rouda, Kaira",Graydon House,17-Sep,Hardcover,1,$8.00 
762402156,9914588727,Five Minute Mysteries Reader,"Weber, Kenneth J.",Courage Books,Aug-98,Hardcover,1,$3.00 
1455591238,9914588654,Zoo,"Patterson, James, Ledwidge, Michael",Grand Central Publishing,15-Apr,Paper Back,1,$1.00 
425275175,9914588611,The Eye of Heaven (A Sam and Remi Fargo Adventure),"Cussler, Clive, Blake, Russell",Berkley,15-Sep,Paper Back,1,$1.00 
451211561,9914588999,Capital Crimes (Will Lee Novel),"Woods, Stuart",Signet,4-Apr,Paper Back,1,$1.00 
553263226,9914588980,The Bourne Supremacy,"Ludlum, Robert",Bantam,Jan-89,Paper Back,1,$1.00 
1416587101,9914588972,Shock Wave (Dirk Pitt Adventure),"Cussler, Clive",Pocket Star,8-May,Paper Back,1,$1.00 
446617164,991458893X,Exact Revenge,"Green, Tim",Vision,6-Mar,Paper Back,1,$1.00 
553287737,9914588921,The Bourne Ultimatum,"Ludlum, Robert",Bantam,Mar-91,Paper Back,1,$1.00 
312942222,9914588905,Traceless,"Webb, Debra",St. Martin's Paperbacks,7-Aug,Paper Back,1,$1.00 
451477154,9914588883,Brush Back: A V.I. Warshawski Novel,"Paretsky, Sara",Signet,16-Jun,Paper Back,1,$1.00 
62025066,9914588832,Act of Deceit: A Harlan Donnally Novel,"Gore, Steven",Harper,11-Aug,Paper Back,1,$1.00 
1594634122,9914591418,The Girl on the Train,,Riverhead,January 0001,Hardcover,1,$3.00 
525954465,9914602193,Wired,"Garwood, Julie",Dutton Adult,15-Jul,Hardcover,1,$5.00 
425282791,9914604676,Back Blast (A Gray Man Novel),"Greaney, Mark",Berkley Hardcover,15-Nov,Hardcover,1,$3.00 
802125239,9914619037,House Revenge: A Joe DeMarco Thriller,"Lawson, Mike",Atlantic Monthly Press,16-Jul,library discard HC,1,$1.00 
451228847,9914619711,The Chocolate Cupid Killings: A Chocoholic Mystery,"Carl, JoAnna",Signet,10-Oct,Paper Back,1,$1.00 
451226100,9914619703,The Chocolate Snowman Murders: A Chocoholic Mystery,"Carl, JoAnna",Signet,9-Oct,Paper Back,1,$1.00 
451221885,991461969X,"The Chocolate Jewel Case (Chocoholic Mysteries, No. 7)","Carl, JoAnna",Signet,7-Aug,Paper Back,1,$1.00 
045121918X,9914619673,"The Chocolate Bridal Bash (Chocoholic Mysteries, No. 6)","Carl, JoAnna",Signet,6-Aug,Paper Back,1,$1.00 
399574255,9914629199,The Solomon Curse (A Sam and Remi Fargo Adventure),"Cussler, Clive, Blake, Russell",G.P. Putnam's Sons,16-Aug,Paper Back,1,$1.00 
451469208,9914629407,This Old Homicide: A Fixer-Upper Mystery,"Carlisle, Kate",Signet,15-Jan,Paper Back,1,$1.00 
1250012309,9914636071,The Hush,"Hart, John",Thomas Dunne Books,17-Jul,Hardcover,1,$4.00 
